Category,Material,Formula,Composition,Phase,Polynomial_Type,Fit_Type,C1,C2,C3,C4,C5,C6,C7,T_min,T_max,Units,Molar_Mass,Molar_Basis,Data_Source
Ceramic,Hafnium Carbide,HfC,NaN,Solid,Shomate,measured range,51.0448,3.7656,0.0,0.0,-1.2552,0.0,0.0,298,4100,J/mol·K,190.501,molecular,NIST-JANAF
Ceramic,Mullite (298-1700K),Al6O13Si2,NaN,Solid,Shomate,measured range,329.8585,386.149,-254.575,61.3454,-8.7825,0.0,0.0,298,1700,J/mol·K,426.049,molecular,NIST-JANAF
Ceramic,Mullite (1700-3000K),Al6O13Si2,NaN,Solid,Shomate,measured range,691.7784,-125.251,44.1943,-3.9711,-113.6717,0.0,0.0,1700,3000,J/mol·K,426.049,molecular,NIST-JANAF
Ceramic,Niobium Carbide,NbC,NaN,Solid,Shomate,measured range,36.233,0.0,0.0,0.0,0.0,0.0,0.0,298,498,J/mol·K,104.917,molecular,NIST-JANAF
Ceramic,Tantalum Carbide,TaC,NaN,Solid,Shomate,measured range,44.29224,7.673707,-0.091309,0.010861,-0.875548,0.0,0.0,298,4273,J/mol·K,192.959,molecular,NIST-JANAF
Ceramic,Titanium Diboride,TiB2,NaN,Solid,Shomate,measured range,52.33265,33.69444,-7.90931,0.80407,-1.5413,0.0,0.0,298,3193,J/mol·K,69.487,molecular,NIST-JANAF
Ceramic,Titanium Nitride,TiN,NaN,Solid,Shomate,measured range,50.40716,0.59651,2.94476,-0.30501,-1.20968,0.0,0.0,298,3220,J/mol·K,61.874,molecular,NIST-JANAF
Ceramic,Zirconium Diboride,ZrB2,NaN,Solid,Shomate,measured range,66.96241,5.66501,1.433879,-0.151665,-1.835999,0.0,0.0,298,3323,J/mol·K,112.846,molecular,NIST-JANAF
Ceramic,Zirconium Nitride,ZrN,NaN,Solid,Shomate,measured range,46.45788,7.006317,0.007791,-0.000719,-0.720527,0.0,0.0,298,3225,J/mol·K,105.231,molecular,NIST-JANAF
Element,Chlorine (1000-3000K),Cl2,NaN,Gas,Shomate,measured range,42.6773,-5.00957,1.904621,-0.165641,-2.09848,0.0,0.0,1000,3000,J/mol·K,70.906,molecular,NIST-JANAF
Element,Chlorine (298-1000K),Cl2,NaN,Gas,Shomate,measured range,33.0506,12.2294,-12.0651,4.38533,-0.159494,0.0,0.0,298,1000,J/mol·K,70.906,molecular,NIST-JANAF
